480.04,164.92,"ase wait patiently.",43,5667.3999999762,1757475475170
482.04,163.98,"ase wait patiently.",43,5778.3999999762,1757475475281
483.23,155.16,"ase wait patiently.",43,5852.8000000119,1757475475356
486.15,138.62,"ase wait patiently.",43,5936.1999999881,1757475475439
511.62,109.02,"wait patiently. It",46,5996.5,1757475475499
554.14,78.05,"t patiently. It migh",50,6056.3999999762,1757475475559
578.05,71.35,"patiently. It might",52,6122.6999999881,1757475475625
612.25,46.99,"iently. It might tak",55,6188.6000000238,1757475475691
638.88,44.1,"ntly. It might take",57,6255.1999999881,1757475475758
661.34,50.71,"ly. It might take up",59,6330.1999999881,1757475475833
-1,-1,,,6405.6000000238,1757475475908
-1,-1,,,6478.6000000238,1757475475981
-1,-1,,,6550.8999999762,1757475476053
-1,-1,,,6621.8999999762,1757475476124
-1,-1,,,6693.5,1757475476196
-1,-1,,,6765.5,1757475476268
-1,-1,,,6857,1757475476359
-1,-1,,,6933.6999999881,1757475476436
-1,-1,,,7003.6999999881,1757475476506
-1,-1,,,7077.6999999881,1757475476580
-1,-1,,,7140.8000000119,1757475476643
-1,-1,,,7202.3999999762,1757475476705
-1,-1,,,7267,1757475476769
-1,-1,,,7331,1757475476833
-1,-1,,,7401.1000000238,1757475476903
-1,-1,,,7480.6999999881,1757475476983
-1,-1,,,7550.1999999881,1757475477053
-1,-1,,,7628.3000000119,1757475477131
-1,-1,,,7701.3999999762,1757475477204
-1,-1,,,7762.8000000119,1757475477265
235.84,56.53,"ype your question, p",21,7828.3000000119,1757475477331
-1,-1,,,7905.8999999762,1757475477408
-1,-1,,,7975,1757475477477
-1,-1,,,8032.3000000119,1757475477535
-1,-1,,,8103.5,1757475477606
-1,-1,,,8173.6999999881,1757475477676
-1,-1,,,8249.6999999881,1757475477752
-1,-1,,,8323.6000000238,1757475477826
-1,-1,,,8400.3999999762,1757475477903
-1,-1,,,8467.5,1757475477970
-1,-1,,,8528.8000000119,1757475478031
-1,-1,,,8600.6999999881,1757475478103
-1,-1,,,8667.3999999762,1757475478170
-1,-1,,,8730.6000000238,1757475478233
-1,-1,,,8793.3000000119,1757475478296
238.74,7.75,"ype your question, p",21,8866.6000000238,1757475478369
244.92,32.3,"ype your question, p",21,8939.8000000119,1757475478442
333.77,29.72,"question, please wai",30,9005.6000000238,1757475478508
316.02,3.93,"r question, please w",28,9076.5,1757475478579
389.29,12.38,"ion, please wait pat",35,9148.8000000119,1757475478651
-1,-1,,,9214.6000000238,1757475478717
413.6,20.8,"n, please wait patie",37,9285.5,1757475478788
496.69,24.97,"se wait patiently. I",44,9346.8000000119,1757475478849
-1,-1,,,9414.8000000119,1757475478917
-1,-1,,,9487.6999999881,1757475478990
-1,-1,,,9546.3999999762,1757475479049
-1,-1,,,9612.3999999762,1757475479115
-1,-1,,,9676.8999999762,1757475479179
-1,-1,,,9742.8000000119,1757475479245
-1,-1,,,9807.1999999881,1757475479310
-1,-1,,,9871.3000000119,1757475479374
-1,-1,,,9932.3999999762,1757475479435
-1,-1,,,9993.3999999762,1757475479496
-1,-1,,,10063.899999976,1757475479566
-1,-1,,,10127,1757475479629
-1,-1,,,10193,1757475479695
-1,-1,,,10252,1757475479754
-1,-1,,,10309.300000012,1757475479812
-1,-1,,,10366.5,1757475479869
-1,-1,,,10433.800000012,1757475479936
512.03,53.03,"wait patiently. It",46,10497.899999976,1757475480000
585.2,172.15,"patiently. It might",52,10563.600000024,1757475480066
625.1,153.23,"ently. It might take",56,10628.5,1757475480131
703.24,115.71,"It might take up to",63,10686,1757475480188
